1/01-01-2000_00:00:00/1/0/0,35625/0/2/1/1/3
2/01-01-2000_00:00:00/1/0/0,428125/0/3/1/11/14/4
3/01-01-2000_00:00:00/1/0/0,5125/0/4/1/9/7/8/1
4/01-01-2000_00:00:00/1/0/0,5083333/0/4/1/13/14/7/9
5/01-01-2000_00:00:00/1/0/0,3125/0/2/3/1/3
6/01-01-2000_00:00:00/1/0/0,43125/0/3/3/11/8/4
7/01-01-2000_00:00:00/1/0/0,5520833/0/4/3/1/5/4/11
8/01-01-2000_00:00:00/1/0/0,44375/0/3/4/11/9/4
9/01-01-2000_00:00:00/1/0/0,3625/0/2/4/1/3
10/01-01-2000_00:00:00/1/0/0,440625/0/3/6/1/8/11
11/01-01-2000_00:00:00/1/0/0,54375/0/4/6/11/15/1/12
12/01-01-2000_00:00:00/1/0/0,5985714/0/2/9/1/3
13/01-01-2000_00:00:00/1/0/0,7557143/0/3/9/11/14/4
14/01-01-2000_00:00:00/1/0/0,7842857/0/4/9/13/15/11/9
15/01-01-2000_00:00:00/1/0/0,6785714/0/2/10/1/8
16/01-01-2000_00:00:00/1/0/0,7196429/0/3/10/9/15/4
17/01-01-2000_00:00:00/1/0/0,8071429/0/3/10/13/10/8
18/01-01-2000_00:00:00/1/0/0,8205357/0/4/10/11/7/8/13
19/01-01-2000_00:00:00/1/0/0,6585714/0/2/11/1/8
20/01-01-2000_00:00:00/1/0/0,7871429/0/3/11/11/7/4
21/01-01-2000_00:00:00/1/0/0,8157143/0/4/11/13/14/5/1
22/01-01-2000_00:00:00/1/0/0,78/0/4/11/11/3/1/9
